sensor_id,value,parameter,datetime,query_point_idx,point_type
2621,21.581130562127246,o3,2020-10-05 11:16:16.388554989,20,negative
3601,47.72252006386866,o3,2020-10-04 09:44:13.598625259,20,negative
8840,53.43909090481584,o3,2020-10-06 19:20:06.453002462,20,negative
3352,20.434315800073158,pm25,2020-10-04 19:22:07.711361079,20,negative
4616,15.177017136562482,pm25,2020-10-05 00:59:33.931953688,20,negative
5534,29.537122628189607,pm25,2020-08-21 00:03:15.736012028,15,negative
5742,37.74181647048046,o3,2020-08-25 03:00:58.541861297,15,negative
8917,59.25594919673141,o3,2020-08-22 09:58:03.817664564,15,negative
8296,42.48516101039755,o3,2020-08-27 12:46:39.482515185,15,negative
4017,47.54018002837697,o3,2020-08-27 08:54:54.796182744,15,negative
2774,30.657635929791983,o3,2020-08-24 22:56:05.435305581,15,negative
3309,32.00444433948992,pm25,2020-08-21 20:49:52.295175070,15,negative
8002,17.678122465647625,o3,2020-08-24 20:43:51.479652120,15,negative
4022,21.23403914667458,o3,2020-08-26 15:12:48.700381429,15,negative
8257,17.525683391840793,pm25,2020-08-23 16:28:31.303170552,15,negative
1479,30.19012610622105,pm25,2020-08-21 23:47:03.996708486,15,negative
1844,34.57828177958747,o3,2020-08-21 11:40:13.246091419,15,negative
7908,30.384985542061656,pm25,2020-08-24 00:16:06.736632599,15,negative
1131,27.236906437647885,pm25,2020-08-26 20:44:58.858928379,15,negative
4459,34.83605099903581,pm25,2020-08-21 18:22:44.627344761,15,negative
8374,17.251586348067004,pm25,2020-08-27 11:07:36.799524435,15,negative
9502,35.20346568822439,o3,2020-08-27 04:44:07.817238039,15,negative
4696,35.503599529013115,pm25,2020-08-22 22:12:31.676242879,15,negative
8401,23.895544161253543,pm25,2020-08-23 10:08:00.916445848,15,negative
3334,54.83870763426879,o3,2020-08-21 02:31:23.647987344,15,negative
2381,46.49977850485077,o3,2020-08-21 03:41:33.227440278,15,negative
6149,32.831822550763235,o3,2020-08-27 08:36:59.895694220,15,negative
9998,15.259544551705947,o3,2020-08-21 17:47:50.622869988,15,negative
4753,30.028106028918796,pm25,2020-08-26 15:05:51.036039969,15,negative
2008,32.49616879730422,o3,2020-08-27 18:57:23.911667981,15,negative
5407,25.588493742652666,pm25,2020-08-25 21:41:45.403716646,15,negative
2745,37.788490390367684,o3,2020-08-25 14:04:52.479303918,15,negative
2951,13.390342842915762,pm25,2020-08-24 18:26:31.707727867,15,negative
7704,14.410900051879374,pm25,2020-08-22 14:41:22.803497234,15,negative
5779,52.182874062862204,o3,2020-08-24 16:00:26.906197260,15,negative
1672,31.445336619206618,o3,2020-08-22 17:43:50.731076542,15,negative
1329,26.048369586132804,o3,2020-08-22 05:57:35.042618443,15,negative
7287,36.15256602663679,o3,2020-08-23 18:05:07.527009699,15,negative
1189,38.93500710238603,pm25,2021-09-06 13:09:48.214518194,23,negative
4981,30.31336327451318,o3,2021-09-06 08:58:02.292131950,23,negative
8005,7.895699424513002,pm25,2021-09-07 09:35:44.704290238,23,negative
4203,23.031129375341298,pm25,2021-09-08 17:33:21.971433412,23,negative
5759,21.623530987612455,o3,2021-09-06 04:05:28.752612883,23,negative
5752,37.305029346704615,pm25,2021-09-11 19:12:11.976438234,23,negative
3805,12.42237555527537,pm25,2021-09-06 00:22:23.784096539,23,negative
4454,10.16980323780879,pm25,2021-09-09 21:05:46.035761484,23,negative
8420,34.57271693174391,pm25,2021-09-10 00:37:44.468662200,23,negative
7763,51.54939016069956,o3,2021-09-09 05:53:42.517003337,23,negative
7214,12.45386916842823,o3,2021-09-11 20:06:46.016206472,23,negative
6288,10.902253919714019,o3,2023-09-18 11:07:47.680329958,1,positive
8334,32.09734158334864,pm25,2023-09-15 08:19:33.996404998,1,positive
4923,26.60019702185797,o3,2023-09-18 17:23:18.144326481,1,positive
7831,47.897010677847916,o3,2023-09-13 11:06:31.593452382,1,positive
5800,26.09952430470759,o3,2023-09-13 00:27:25.240862073,1,positive
5169,22.294523952874897,o3,2023-09-17 19:48:37.366766977,1,positive
9384,41.662299285973326,o3,2023-09-13 18:49:55.366406209,1,positive
1992,37.11532078641378,o3,2023-09-19 10:12:16.805994576,1,positive
7278,20.733926215731913,o3,2023-09-12 21:56:56.518895870,1,positive
7285,29.27778140623665,pm25,2023-09-14 12:41:05.493506846,1,positive
3054,6.099514368952322,pm25,2023-09-17 22:44:42.931017231,1,positive
6645,32.73886262535767,pm25,2023-09-14 07:31:10.062832061,1,positive
3827,13.411258110280702,o3,2023-09-14 02:25:43.478142130,1,positive
3521,50.88721320898063,o3,2023-09-18 06:39:28.450727682,1,positive
7408,23.34431647878649,o3,2023-09-18 21:16:57.910082638,1,positive
1289,12.795620734298792,pm25,2023-09-17 04:18:12.191366230,1,positive
9882,33.422122659665604,o3,2023-09-17 03:35:28.328625632,1,positive
5681,30.892922970931018,o3,2023-09-16 20:17:23.537664685,1,positive
1382,25.508296915699226,pm25,2023-09-12 16:25:27.306349363,1,positive
2742,47.990472371134416,o3,2023-09-16 19:22:35.186351611,1,positive
2873,22.84895579855141,o3,2023-09-12 14:11:28.223590209,1,positive
8123,52.33556488247815,o3,2023-09-17 21:13:32.982332309,1,positive
7264,15.977500953687258,o3,2023-09-16 14:36:42.661780527,1,positive
1503,16.744216293433695,pm25,2023-09-12 12:45:16.361700549,1,positive
3373,8.4068671008459,pm25,2023-09-15 21:39:46.580237054,1,positive
2772,49.90969218877895,o3,2023-09-15 23:33:02.850452079,1,positive
4027,24.1405178575086,o3,2023-09-17 06:04:10.643453207,1,positive
3981,25.848398294165072,o3,2023-09-12 18:57:55.298469802,1,positive
9064,14.304471710692077,o3,2023-09-16 16:02:31.818822014,1,positive
3651,38.230833700993635,o3,2023-09-15 17:08:54.872012736,1,positive
5751,15.82051970754624,o3,2023-09-16 00:10:01.753184784,1,positive
8019,37.15448092813608,o3,2023-09-18 13:06:29.318168683,1,positive
2701,53.97080435264794,o3,2023-09-17 13:59:21.971725955,1,positive
5249,27.142294210620204,pm25,2023-09-19 09:20:41.283366185,1,positive
5507,22.139019356984154,o3,2023-09-14 16:33:26.991350329,1,positive
7442,19.336368882631355,pm25,2023-09-17 07:21:03.321638239,1,positive
7532,39.611085641683694,o3,2023-09-15 15:52:28.977648109,1,positive
2874,38.57473642511714,pm25,2023-09-13 14:38:29.319798418,1,positive
7363,53.94769840879579,o3,2023-09-17 03:47:51.141115325,1,positive
8775,46.06500594758584,o3,2023-09-19 03:49:59.782438728,1,positive
2579,41.99575200886042,o3,2023-09-17 02:17:16.402433573,1,positive
9490,42.27103532172882,o3,2023-09-13 23:23:44.901816822,1,positive
8643,49.56506666512416,o3,2023-09-18 03:13:25.294531587,1,positive
6458,29.007171714741496,o3,2023-09-13 22:51:50.915488464,1,positive
7682,57.418688700201706,o3,2021-09-13 09:46:57.061591320,3,positive
5792,35.55280602507129,o3,2021-09-07 21:37:53.066968508,3,positive
5481,34.74698227920948,pm25,2021-09-08 07:45:34.302686929,3,positive
4774,37.0542609892826,o3,2021-09-12 15:47:07.647840592,3,positive
8588,56.33930650870378,o3,2021-09-10 14:41:07.244497474,3,positive
7552,8.184311846218606,pm25,2021-09-11 03:16:25.229804062,3,positive
6309,11.858306037905265,o3,2021-09-09 18:52:15.719218361,3,positive
4389,44.77509916126825,o3,2021-09-13 20:55:39.113519616,3,positive
2019,33.24216430213173,pm25,2021-09-13 12:59:39.667145285,3,positive
4218,42.03953935534707,o3,2021-09-09 00:03:17.570420665,3,positive
8729,19.889939038518076,pm25,2021-09-11 17:30:44.155037980,3,positive
6730,37.34505675234398,o3,2021-09-07 03:16:03.947886267,3,positive
8285,42.06812030961189,o3,2021-09-12 19:37:06.590754659,3,positive
9038,20.820937307936674,pm25,2021-09-07 03:32:47.458459377,3,positive
9149,22.85541815081747,o3,2021-09-08 23:38:38.809834434,3,positive
2858,13.928776722553033,pm25,2021-09-12 18:04:54.947960622,3,positive
8275,18.55411553522498,o3,2021-09-09 00:27:18.566870678,3,positive
5248,18.177420828056658,o3,2021-09-11 21:27:30.532057999,3,positive
2310,7.761593031372145,pm25,2021-09-11 09:10:45.989050751,3,positive
6436,12.826646431980551,o3,2021-09-11 20:59:13.967549141,3,positive
6094,35.27543615075213,o3,2021-09-10 02:56:55.251008668,3,positive
7444,22.892245442947985,pm25,2021-09-13 22:38:15.383089195,3,positive
9713,59.10315576683028,o3,2021-09-11 04:59:36.247950123,3,positive
2363,35.23677235198859,o3,2021-09-08 14:38:32.212392473,3,positive
9080,49.37777601461024,o3,2021-09-09 23:53:44.570498274,3,positive
9297,59.400361642453966,o3,2021-09-11 05:13:37.464512458,3,positive
6283,26.10693017399737,o3,2021-09-12 12:13:40.901786228,3,positive
4326,33.25867467605527,pm25,2021-09-10 00:34:47.802239052,3,positive
9630,53.04194317823733,o3,2021-09-13 09:42:14.821901571,3,positive
3436,18.715493681926844,pm25,2021-09-13 07:08:10.638497504,3,positive
8530,13.972987066298108,pm25,2021-09-10 14:38:12.770623757,3,positive
9764,27.084897413922718,pm25,2021-09-10 19:00:49.881841784,3,positive
1227,53.27199959863244,o3,2021-09-08 14:20:49.010983879,3,positive
6287,49.051379179337864,o3,2021-09-12 23:02:15.334543691,3,positive
5641,26.20640927794395,pm25,2021-09-13 03:33:29.543022638,3,positive
6935,51.69203855116355,o3,2021-09-10 13:56:06.918515939,3,positive
7513,14.618136684955331,o3,2021-09-07 04:29:26.439220968,3,positive
5574,28.035179180153555,o3,2021-09-13 12:30:09.911203529,3,positive
9317,32.060862475850705,pm25,2021-09-13 05:40:03.951280869,3,positive
7528,14.956963262573595,o3,2021-09-08 03:09:27.457642882,3,positive
4435,21.950751552088285,o3,2021-09-09 12:56:25.533643195,3,positive
6402,16.37622283347772,o3,2023-10-06 23:53:19.530112744,17,negative
5140,28.98680046133176,pm25,2023-10-01 00:00:10.590990134,17,negative
7992,25.865146806000705,pm25,2023-10-06 04:39:27.778965423,17,negative
4974,39.01469938409629,o3,2023-10-03 14:04:48.971064592,17,negative
2570,24.783348143015907,pm25,2023-10-01 12:44:38.026529095,17,negative
9116,18.39532374053244,o3,2023-10-01 13:26:22.279548857,17,negative
3147,30.580913381739904,pm25,2023-10-03 18:53:20.770994405,17,negative
2660,19.386327116431996,pm25,2023-10-04 08:14:09.866699076,17,negative
7219,8.674488417759813,pm25,2023-10-02 12:05:46.505961444,17,negative
6091,47.991608042320095,o3,2023-10-05 12:38:58.066023700,17,negative
8916,54.010372157543905,o3,2023-10-01 06:23:37.549610036,17,negative
9856,36.96924629322373,o3,2023-10-06 03:58:15.214940018,17,negative
7917,36.005150192442116,pm25,2023-10-02 14:06:55.300621039,17,negative
8303,32.882216374458515,o3,2023-10-01 18:13:45.043680887,17,negative
9885,31.61289851520903,o3,2023-10-02 12:08:05.627153753,17,negative
1313,39.27791326202427,o3,2023-10-02 02:28:17.597655171,17,negative
9973,26.056358277583694,o3,2023-10-06 06:05:25.766088711,17,negative
2556,16.709432183875215,pm25,2023-10-04 19:04:56.408241446,17,negative
4391,30.372279176100687,pm25,2023-10-07 14:28:40.192150945,17,negative
1496,7.851840480185796,pm25,2023-10-05 19:46:02.507167641,17,negative
2762,38.41804400796619,o3,2023-10-07 15:54:01.227419968,17,negative
9899,15.641005042955776,o3,2023-10-05 05:48:14.061155886,17,negative
7315,10.34100429067757,pm25,2023-10-01 05:06:31.669088113,17,negative
9647,9.411847588741804,pm25,2023-10-03 14:23:04.384851528,17,negative
7033,33.81126320894242,pm25,2023-10-03 16:03:55.963725825,17,negative
8533,30.860367533126983,pm25,2023-10-07 06:19:04.288750104,17,negative
6524,42.32313624193745,o3,2023-10-03 19:11:17.087532744,17,negative
2087,30.064224118078812,o3,2023-10-01 21:07:21.056574837,17,negative
7894,23.99919894682689,o3,2023-10-06 04:26:51.832769481,17,negative
2545,41.38296239107702,o3,2023-10-04 15:17:45.717288837,17,negative
1771,59.83824861856084,o3,2023-10-04 20:58:40.707419359,17,negative
5031,17.81649986382282,pm25,2023-10-04 17:34:40.580647317,17,negative
5408,36.93955524535626,o3,2023-10-07 11:39:50.426085753,17,negative
6452,5.990798789558902,pm25,2023-10-05 02:05:33.286667462,17,negative
5669,28.053705216704287,pm25,2023-10-04 16:06:11.585817372,17,negative
9030,54.2521212395185,o3,2023-10-05 02:56:47.698122364,17,negative
4274,27.904696511892432,o3,2023-10-05 05:08:55.661756366,17,negative
6988,39.593345119571495,o3,2023-10-04 22:11:13.318643260,17,negative
9404,12.146418535823951,o3,2023-10-04 16:55:43.053783836,17,negative
5176,19.355531848557657,o3,2023-10-06 14:51:11.046617334,17,negative
5081,21.628829963862053,pm25,2023-10-06 00:24:09.769458849,17,negative
2935,32.17844365352246,pm25,2023-10-03 11:25:35.914732911,17,negative
2314,56.08282738535057,o3,2023-10-07 08:39:46.758416713,17,negative
8601,52.55177898986658,o3,2023-10-05 03:42:02.038504032,17,negative
5774,9.589575840839348,pm25,2023-10-07 04:19:29.580855999,17,negative
